Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight,Risk_Contribution
Onsemi,ON,39.96,54.75,0.3701201201201201,0.3114312776231288,0.5196712292956842,0.006769000581087649,0.001787011301007274
Paccar,PCAR,90.29,102.16,0.1314652785469043,0.2039097728469981,0.2588981704706049,0.012527420273145658,0.0016437814893583613
Palantir Technologies,PLTR,123.77,93.41,-0.2452936899087016,0.7947962404351211,0.7342545151371039,0.004899030613886693,0.0018286311199325407
Palo Alto Networks,PANW,188.13,211.2,0.1226279700207302,0.4190501644539923,0.4064794799026919,0.008467969336198259,0.0017474749388468535
Paychex,PAYX,146.41,144.96,-0.0099036951027934,0.2138398593725016,0.2355050440754254,0.013536719320607776,0.0016149565362201727
PayPal,PYPL,68.54,82.32,0.2010504814706739,-0.0620713942289894,0.4245280207521987,0.008142872460412749,0.0017552224183858814
PDD Holdings,PDD,110.85,151.15,0.3635543527289131,0.4281586709947921,0.7426988215755392,0.004845834016543313,0.0018296056928187845
PepsiCo,PEP,131.99,151.55,0.148193044927646,0.0431613268639729,0.1736720808527494,0.01709729798812544,0.0015013748624558348
Qualcomm,QCOM,139.44,176.86,0.2683591508892715,0.2151542503249413,0.3963337212947453,0.00866249211537359,0.0017428665701655942
Regeneron Pharmaceuticals,REGN,603.58,800.13,0.3256403459359156,0.0420779373707654,0.2918518789296913,0.011324260392162487,0.0016759284891246626
Roper Technologies,ROP,557.59,624.66,0.1202855144460983,0.1227681626573311,0.2131486381172857,0.014656541739879635,0.0015816956365912785
Ross Stores,ROST,141.47,154.83,0.094436983105959,0.153997695528539,0.3243125367462809,0.010340969762812308,0.0017013333299325168
Starbucks,SBUX,81.66,92.08,0.1276022532451628,0.0855300868244311,0.3114735734942102,0.010708853036074497,0.0016918462980442623
Synopsys,SNPS,477.41,595.21,0.2467480781718021,0.280948195850089,0.3515556222579183,0.009637305746123367,0.0017192612312612375
Take-Two Interactive,TTWO,233.32,222.15,-0.0478741642379564,0.1732974112049509,0.3320693803041791,0.010130611343126289,0.001706740287072172
T-Mobile US,TMUS,248.3,269.25,0.0843737414418042,0.231232311648994,0.2446621364660067,0.013124089304268243,0.0016269299421043523
"Tesla, Inc.",TSLA,280.26,289.44,0.0327552986512524,0.5382348814013832,0.6401998328467607,0.005573689209881543,0.0018135120478982006
Texas Instruments,TXN,162.42,177.41,0.0922915897057012,0.1422428819642087,0.2973830835008592,0.01114380830000975,0.0016806080554538038
Trade Desk (The),TTD,55.5,85.64,0.5430630630630631,0.3331460793277173,0.6719655424401282,0.005326634111592774,0.0018192945303520992
Verisk Analytics,VRSK,294.75,294.02,-0.0024766751484309,0.1582355872000734,0.2278427042668283,0.013901404779517937,0.0016042207286396403
Vertex Pharmaceuticals,VRTX,500.19,501.36,0.0023391111377677,0.1461550047489125,0.2924219302039248,0.0113053980491132,0.0016764184753213951
Warner Bros. Discovery,WBD,8.37,13.19,0.5758661887694148,-0.0272227339117706,0.5467413557689457,0.006458697277383978,0.0017941196281189963
"Workday, Inc.",WDAY,248.34,298.61,0.2024240959974228,0.1596946975336513,0.3829539873318137,0.008933051963453625,0.0017364449251065252
Xcel Energy,XEL,70.89,74.94,0.0571307659754549,0.087526050236891,0.2115057490382365,0.01474592404960707,0.0015790057866555153
Zscaler,ZS,226.17,236.83,0.0471326878012114,0.3891059930963985,0.5712061338080042,0.00620179666275821,0.0018000177654498735
